cod_assunto;cod_item_pai;artigo;dispositivo_legal;nome;glossario
9,975;9,964;39 e seguintes do ECA e 1.618 e seguintes do CC;ECA e CC;Adoção de Adolescente;"Art. 39. A adoção de criança e de adolescente reger-se-á segundo o disposto nesta Lei. Parágrafo único. É vedada a adoção por procuração. Art. 40. O adotando deve contar com, no máximo, dezoito anos à data do pedido, salvo se já estiver sob a guarda ou tutela dos adotantes. Art. 41. A adoção atribui a condição de filho ao adotado, com os mesmos direitos e deveres, inclusive sucessórios, desligando-o de qualquer vínculo com pais e parentes, salvo os impedimentos matrimoniais. § 1º Se um dos cônjuges ou concubinos adota o filho do outro, mantêm-se os vínculos de filiação entre o adotado e o cônjuge ou concubino do adotante e os respectivos parentes. § 2º É recíproco o direito sucessório entre o adotado, seus descendentes, o adotante, seus ascendentes, descendentes e colaterais até o 4º grau, observada a ordem de vocação hereditária. Art. 42. Podem adotar os maiores de vinte e um anos, independentemente de estado civil. § 1º Não podem adotar os ascendentes e os irmãos do adotando. § 2º A adoção por ambos os cônjuges ou concubinos poderá ser formalizada, desde que um deles tenha completado vinte e um anos de idade, comprovada a estabilidade da família. § 3º O adotante há de ser, pelo menos, dezesseis anos mais velho do que o adotando. § 4º Os divorciados e os judicialmente separados poderão adotar conjuntamente, contanto que acordem sobre a guarda e o regime de visitas, e desde que o estágio de convivência tenha sido iniciado na constância da sociedade conjugal. § 5º A adoção poderá ser deferida ao adotante que, após inequívoca manifestação de vontade, vier a falecer no curso do procedimento, antes de prolatada a sentença. Art. 43. A adoção será deferida quando apresentar reais vantagens para o adotando e fundar-se em motivos legítimos. Art. 44. Enquanto não der conta de sua administração e saldar o seu alcance, não pode o tutor ou o curador adotar o pupilo ou o curatelado. Art. 45. A adoção depende do consentimento dos pais ou do representante legal do adotando. § 1º. O consentimento será dispensado em relação à criança ou adolescente cujos pais sejam desconhecidos ou tenham sido destituídos do pátrio poder. § 2º. Em se tratando de adotando maior de doze anos de idade, será também necessário o seu consentimento. Art. 46. A adoção será precedida de estágio de convivência com a criança ou adolescente, pelo prazo que a autoridade judiciária fixar, observadas as peculiaridades do caso. § 1º O estágio de convivência poderá ser dispensado se o adotando não tiver mais de um ano de idade ou se, qualquer que seja a sua idade, já estiver na companhia do adotante durante tempo suficiente para se poder avaliar a conveniência da constituição do vínculo. § 2º Em caso de adoção por estrangeiro residente ou domiciliado fora do País, o estágio de convivência, cumprido no território nacional, será de no mínimo quinze dias para crianças de até dois anos de idade, e de no mínimo trinta dias quando se tratar de adotando acima de dois anos de idade. Art. 47. O vínculo da adoção constitui-se por sentença judicial, que será inscrita no registro civil mediante mandado do qual não se fornecerá certidão. § 1º A inscrição consignará o nome dos adotantes como pais, bem como o nome de seus ascendentes. § 2º O mandado judicial, que será arquivado, cancelará o registro original do adotado. § 3º Nenhuma observação sobre a origem do ato poderá constar nas certidões do registro. § 4º A critério da autoridade judiciária, poderá ser fornecida certidão para a salvaguarda de direitos. § 5º A sentença conferirá ao adotado o nome do adotante e, a pedido deste, poderá determinar a modificação do prenome. § 6º A adoção produz seus efeitos a partir do trânsito em julgado da sentença, exceto na hipótese prevista no art. 42, § 5º, caso em que terá força retroativa à data do óbito. Art. 48. A adoção é irrevogável. Art. 49. A morte dos adotantes não restabelece o pátrio poder dos pais naturais. Art. 50. A autoridade judiciária manterá, em cada comarca ou foro regional, um registro de crianças e adolescentes em condições de serem adotados e outro de pessoas interessadas na adoção. § 1º O deferimento da inscrição dar-se-á após prévia consulta aos órgãos técnicos do juizado, ouvido o Ministério Público. § 2º Não será deferida a inscrição se o interessado não satisfazer os requisitos legais, ou verificada qualquer das hipóteses previstas no art. 29. Art. 51 Cuidando-se de pedido de adoção formulado por estrangeiro residente ou domiciliado fora do País, observar-se-á o disposto no art. 31. § 1º O candidato deverá comprovar, mediante documento expedido pela autoridade competente do respectivo domicílio, estar devidamente habilitado à adoção, consoante as leis do seu país, bem como apresentar estudo psicossocial elaborado por agência especializada e credenciada no país de origem. § 2º A autoridade judiciária, de ofício ou a requerimento do Ministério Público, poderá determinar a apresentação do texto pertinente à legislação estrangeira, acompanhado de prova da respectiva vigência. § 3º Os documentos em língua estrangeira serão juntados aos autos, devidamente autenticados pela autoridade consular, observados os tratados e convenções internacionais, e acompanhados da respectiva tradução, por tradutor público juramentado. § 4º Antes de consumada a adoção não será permitida a saída do adotando do território nacional. Art. 52. A adoção internacional poderá ser condicionada a estudo prévio e análise de uma comissão estadual judiciária de adoção, que fornecerá o respectivo laudo de habilitação para instruir o processo competente. Parágrafo único. Competirá à comissão manter registro centralizado de interessados estrangeiros em adoção. Art. 1.618. Só a pessoa maior de dezoito anos pode adotar. Parágrafo único. A adoção por ambos os cônjuges ou companheiros poderá ser formalizada, desde que um deles tenha completado dezoito anos de idade, comprovada a estabilidade da família. Art. 1.619. O adotante há de ser pelo menos dezesseis anos mais velho que o adotado. Art. 1.620. Enquanto não der contas de sua administração e não saldar o débito, não poderá o tutor ou o curador adotar o pupilo ou o curatelado. Art. 1.621. A adoção depende de consentimento dos pais ou dos representantes legais, de quem se deseja adotar, e da concordância deste, se contar mais de doze anos. § 1o O consentimento será dispensado em relação à criança ou adolescente cujos pais sejam desconhecidos ou tenham sido destituídos do poder familiar. § 2o O consentimento previsto no caput é revogável até a publicação da sentença constitutiva da adoção. Art. 1.622. Ninguém pode ser adotado por duas pessoas, salvo se forem marido e mulher, ou se viverem em união estável. Parágrafo único. Os divorciados e os judicialmente separados poderão adotar conjuntamente, contanto que acordem sobre a guarda e o regime de visitas, e desde que o estágio de convivência tenha sido iniciado na constância da sociedade conjugal. Art. 1.623. A adoção obedecerá a processo judicial, observados os requisitos estabelecidos neste Código. Parágrafo único. A adoção de maiores de dezoito anos dependerá, igualmente, da assistência efetiva do Poder Público e de sentença constitutiva. Art. 1.624. Não há necessidade do consentimento do representante legal do menor, se provado que se trata de infante exposto, ou de menor cujos pais sejam desconhecidos, estejam desaparecidos, ou tenham sido destituídos do poder familiar, sem nomeação de tutor; ou de órfão não reclamado por qualquer parente, por mais de um ano. Art. 1.625. Somente será admitida a adoção que constituir efetivo benefício para o adotando. Art. 1.626. A adoção atribui a situação de filho ao adotado, desligando-o de qualquer vínculo com os pais e parentes consangüíneos, salvo quanto aos impedimentos para o casamento. Parágrafo único. Se um dos cônjuges ou companheiros adota o filho do outro, mantêm-se os vínculos de filiação entre o adotado e o cônjuge ou companheiro do adotante e os respectivos parentes. Art. 1.627. A decisão confere ao adotado o sobrenome do adotante, podendo determinar a modificação de seu prenome, se menor, a pedido do adotante ou do adotado. Art. 1.628. Os efeitos da adoção começam a partir do trânsito em julgado da sentença, exceto se o adotante vier a falecer no curso do procedimento, caso em que terá força retroativa à data do óbito. As relações de parentesco se estabelecem não só entre o adotante e o adotado, como também entre aquele e os descendentes deste e entre o adotado e todos os parentes do adotante. Art. 1.629. A adoção por estrangeiro obedecerá aos casos e condições que forem estabelecidos em lei."
9,977;9,964;149;ECA;Entrada e Permanência de Menores;"Art. 149. Compete à autoridade judiciária disciplinar, através de portaria, ou autorizar, mediante alvará: I - a entrada e permanência de criança ou adolescente, desacompanhado dos pais ou responsável, em: a) estádio, ginásio e campo desportivo; b) bailes ou promoções dançantes; c) boate ou congêneres; d) casa que explore comercialmente diversões eletrônicas; e) estúdios cinematográficos, de teatro, rádio e televisão. II - a participação de criança e adolescente em: a) espetáculos públicos e seus ensaios; b) certames de beleza. § 1º Para os fins do disposto neste artigo, a autoridade judiciária levará em conta, dentre outros fatores: a) os princípios desta Lei; b) as peculiaridades locais; c) a existência de instalações adequadas; d) o tipo de freqüência habitual ao local; e) a adequação do ambiente a eventual participação ou freqüência de crianças e adolescentes; f) a natureza do espetáculo. § 2º As medidas adotadas na conformidade deste artigo deverão ser fundamentadas, caso a caso, vedadas as determinações de caráter geral."
9,978;9,964;83 e seguintes;ECA;Viagem ao Exterior;"Art. 83. Nenhuma criança poderá viajar para fora da comarca onde reside, desacompanhada dos pais ou responsável, sem expressa autorização judicial. § 1º A autorização não será exigida quando: a) tratar-se de comarca contígua à da residência da criança, se na mesma unidade da Federação, ou incluída na mesma região metropolitana; b) a criança estiver acompanhada: 1) de ascendente ou colateral maior, até o terceiro grau, comprovado documentalmente o parentesco; 2) de pessoa maior, expressamente autorizada pelo pai, mãe ou responsável. § 2º A autoridade judiciária poderá, a pedido dos pais ou responsável, conceder autorização válida por dois anos. Art. 84. Quando se tratar de viagem ao exterior, a autorização é dispensável, se a criança ou adolescente: I - estiver acompanhado de ambos os pais ou responsável; II - viajar na companhia de um dos pais, autorizado expressamente pelo outro através de documento com firma reconhecida. Art. 85. Sem prévia e expressa autorização judicial, nenhuma criança ou adolescente nascido em território nacional poderá sair do País em companhia de estrangeiro residente ou domiciliado no exterior."
9,979;9,964;60 e seguintes;ECA;Trabalho do adolescente;"Art. 60. É proibido qualquer trabalho a menores de quatorze anos de idade, salvo na condição de aprendiz. Art. 61. A proteção ao trabalho dos adolescentes é regulada por legislação especial, sem prejuízo do disposto nesta Lei. Art. 62. Considera-se aprendizagem a formação técnico-profissional ministrada segundo as diretrizes e bases da legislação de educação em vigor. Art. 63. A formação técnico-profissional obedecerá aos seguintes princípios: I - garantia de acesso e freqüência obrigatória ao ensino regular; II - atividade compatível com o desenvolvimento do adolescente; III - horário especial para o exercício das atividades. Art. 64. Ao adolescente até quatorze anos de idade é assegurada bolsa de aprendizagem. Art. 65. Ao adolescente aprendiz, maior de quatorze anos, são assegurados os direitos trabalhistas e previdenciários. Art. 66. Ao adolescente portador de deficiência é assegurado trabalho protegido. Art. 67. Ao adolescente empregado, aprendiz, em regime familiar de trabalho, aluno de escola técnica, assistido em entidade governamental ou não-governamental, é vedado trabalho: I - noturno, realizado entre as vinte e duas horas de um dia e as cinco horas do dia seguinte; II - perigoso, insalubre ou penoso; III - realizado em locais prejudiciais à sua formação e ao seu desenvolvimento físico, psíquico, moral e social; IV - realizado em horários e locais que não permitam a freqüência à escola. Art. 68. O programa social que tenha por base o trabalho educativo, sob responsabilidade de entidade governamental ou não-governamental sem fins lucrativos, deverá assegurar ao adolescente que dele participe condições de capacitação para o exercício de atividade regular remunerada. § 1º Entende-se por trabalho educativo a atividade laboral em que as exigências pedagógicas relativas ao desenvolvimento pessoal e social do educando prevalecem sobre o aspecto produtivo. § 2º A remuneração que o adolescente recebe pelo trabalho efetuado ou a participação na venda dos produtos de seu trabalho não desfigura o caráter educativo. Art. 69. O adolescente tem direito à profissionalização e à proteção no trabalho, observados os seguintes aspectos, entre outros: I - respeito à condição peculiar de pessoa em desenvolvimento; II - capacitação profissional adequada ao mercado de trabalho."
9,981;899;Arts. 40 a 69.;Lei nº 10.406/02 (Código Civil) -;Pessoas Jurídicas;Conceito: Unidade de pessoas naturais ou de patrimônios, que visa à consecução de certos fins, reconhecida pela ordem jurídica como sujeito de direitos e obrigações.(Maria Helena Diniz) Dicionário jurídico.
9,984;9,617;986;CCB;Em comum / De fato;Conceito: É uma sociedade não personificada, com sócios de responsabilidade solidária e ilimitada que, de acordo com o Enunciado nº 58, do Centro de Estudos Jurídicos do Conselho da Justiça Federal: compreende as figuras doutrinárias da sociedade de fato e da irregular.(Amador Paes de Almeida) Manual das sociedades comerciais pg. 52.
9,99;9,986;34;CF;Intervenção em Estado / Município;Discussões sobre a possibilidade de intervenção da União nos Estados ou DF, de intervenção dos Estados nos Municípios e de intervenção da União nos Municípios situados em Território Federal
9,992;9,991;art. 5º, V, X;CF;Indenização por Dano Moral;1. Dano Moral - Entendido também como dano extrapatrimonial ou à integridade moral: dor física, sofrimento moral, dor moral, dano a honra, dano estético, a imagem que se faz de si mesmo. Alcança apenas os danos causados PELA Fazenda Pública. Os danos causados por particulares à Fazenda Pública deverão ser cadastrados em Direito Civil (responsabilidade civil). Os danos decorrentes de relação de consumo estão tratados em Direito do Consumidor.
9,994;9,991;CF, art. 37, § 6º, Lei 6938/81, art. 14, § 1º;"CF; Lei 6938/81";Indenização por Dano Ambiental;"Casos de ressarcimento do dano ambiental a cargo do Estado. Responsabilidade ambiental contra particular deve ser classificado em DirCivil;Responsabilidade Civil;Dano Ambiental. Demais considerações, especialmente ações preventivas, devem ser classificadas em DirAdministrativo;Meio Ambiente, onde couber."
9,995;9,992;art. 5º, V, X;CF;Erro Médico;Assunto específico relacionado com danos provocados no exercício da atividade médica, que suprime a necessidade de classificar em Dano Moral e/ou Material e/ou Estético e/ou Funcional.
9,996;9,992;art. 5º, V, X;CF;Acidente de Trânsito;Assunto específico relacionado a danos ocorridos por força de acidente de trânsito, que suprime a necessidade de classificar em Dano Moral e/ou Material e/ou Estético e/ou Funcional.
10;9,998;5º, inciso I;IN SRF 248/2002;Declaração de Trânsito Aduaneiro;"Discussões sobre o despacho de trânsito aduaneiro, que demande Declaração de Trânsito Aduaneiro - DTA, nos casos: a) de entrada ou de passagem, comum, cuja correspondente carga sujeita-se à emissão de fatura comercial; ou b) de entrada ou de passagem, especial, para cuja correspondente carga não é exigida a emissão de fatura comercial, tais como: bens mencionados no art. 3o, quando acobertados por conhecimento de transporte internacional, urna funerária, mala diplomática, bagagem desacompanhada e semelhantes;"
10,008;9,998;4º;Decreto 63.662/68;Registro de Aeronave;Discussões sobre o Registro de Aeronaves - destinado à transcrição, averbação e anotação de direitos reais e obrigacionais sobre aeronaves, bem como de qualquer fato ou ato a elas relativos.
10,01;9,997;"Lei 7347, art. 1º; Lei 4717, art. 1º";"Leis 4717/65; 7347/85";Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico;Abrange principalmente ações com vistas à suspensão/anulação de atos lesivos ao patrimônio artístico, estético, histórico, turístico, etc. Ações com vistas à reparação desses danos devem ser cadastradas em responsabilidade. Dano ao erário causado por agente público deve ser classificado em improbidade administrativa.
10,012;10,011;10;L 8.429/1992;Dano ao Erário;Discussões sobre a ocorrência de prejuízo ao Erário Público, seja material, seja imaterial
10,013;10,011;9º;L 8.429/1992;Enriquecimento ilícito;Discussões sobre a obtenção de qualquer tipo de vantagem patrimonial indevida em razão do exercício de cargo, mandato, função, emprego ou atividade nas entidades mencionadas no artigo 1º desta Lei, notadamente as hipóteses relacionadas nos incisos do art. 9º da Lei 8.429/92.
10,014;10,011;11;L 8.429/1992;Violação aos Princípios Administrativos;Discussões sobre a violação dos princípios da administração pública, no caso de ação ou omissão que ofenda os deveres de honestidade, imparcialidade, legalidade, e lealdade à instituições, e notadamente nas hipóteses arroladas no art. 11 da Lei 8.429/92.
10,029;10,028;art. 207;CF;Ensino Superior;A ser utilizado quando disser respeito a ensino superior, não contemplado em assunto mais específico. Dispõe sobre as universidades.
10,051;10,028;art. 208, I, II;CF;Ensino Fundamental e Médio;Dispõe sobre a responsabilidade do Estado quanto ao ensino fundamental e médio.
10,064;10,028;art. 196 a 200;CF;Saúde;Dispõe sobre a saúde e a responsabilidade do Estado na sua prestação.
10,069;10,064;Art. 196;CF;Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos;<<p>> Disp&õe sobre a responsabilidade do Estado na presta&ç&ão dos servi&ços de sa&úde, inclusive tratamento e medicamento.<</p>> <<p>> Inativa&ç&ão solicitada pelo F&órum da Sa&úde, associada &à cria&ç&ão dos assuntos 11883 e 11884.<</p>>
10,074;10,073;art. 1º a 40;Lei 8974/95;Fornecimento de Gás;Discussão sobre a delegação do serviço de fornecimento de gás. Questões entre consumidores e prestadores devem ser classificadas em DirConsumidor.
10,075;10,073;art. 1º a 40;Lei 8987/95;Energia Elétrica;Discussões sobre a delegação do serviço. Questões entre consumidores e prestadores devem ser classificadas em DirConsumidor.
10,076;10,073;arts. 1º a 64;Decreto 1832/96;Transporte Terrestre;Inclui discussões sobre o transporte rodoviário e ferroviário. Casos comuns são os de linhas de ônibus irregulares, e o de discussões sobre o pedágio.
10,08;10,073;"Lei 91/97, arts. 1º a 22; Lei 29/2002, arts 1º a 3º";"Lei 91/97; Lei 29/2002";Telefonia;Casos relacionados com a delegação do serviço.
10,081;10,073;"CF, art. 21, XII, a; Lei 9432/97, arts. 1º a 15";"CF; Lei 9432/97";Transporte Aquaviário;Utilizado nas ações referentes à concessão, permissão e autorização de transporte aquaviário.
10,083;10,073;art. 3º;Lei 8935/94;Tabelionatos, Registros, Cartórios;<<p>> Discuss&ões sobre a delega&ç&ão do servi&ço, as condi&ç&ões de execu&ç&ão, etc. Quest&ões sobre os servi&ços em si devem ser classificadas em Registros P&úblicos. Inclui as discuss&ões sobre titularidade, nomea&ç&ão, promo&ç&ão, remo&ç&ão, aposentadoria compuls&ória de oficiais de registro ou tabeli&ães.<</p>>
10,086;10,073;arts. 1º a 53;Lei 11.445/07;Recolhimento e Tratamento de Lixo;Discussão sobre o recolhimento e tratamento dos resíduos sólidos e o regime de concessão do serviço.
10,087;10,028;CF, art. 133 a 135;"CF; LC 80/94; Lei 9020/95";Defensoria Pública;Discussões sobre a implantação do serviço e os pleitos de prestação do serviço, inclusive quanto à qualidade.
10,09;10,089;64;Dl 9.760/1946;Locação / Permissão / Concessão / Autorização / Cessão de Uso;"Discussões sobre locação, aforamento, permissão, concessão, autorização ou cessão de bens imóveis que não sejam de moradia funcional. Discussões sobre imóveis funcionais devem ser classificadas em DirAdministrativo;Domínio Público;Imóvel Funcional. Inclui as discussões sobre utilização de bens móveis do Estado. Inclui discussões sobre concessão de direito real de uso."
10,092;10,089;art. 7º;Lei 9636/98;Taxa de Ocupação;"A ser utilizado em ações referentes a Taxa de Ocupação, exceto aquelas que tratem de dívida ativa, quando deverá ser utilizado o assunto DirAdministrativo;Dívida Ativa não-tributária;Taxa de Ocupação / Laudêmio / Foro."
10,095;10,089;art. 1º e segs.;Lei 9433/97;Águas Públicas;A lei institui a política nacional de recursos hídricos.
10,096;10,089;art. 461, § 5º;CPC;Bloqueio de Valores de Contas Públicas;"Bloqueio de verbas de entes Municipais, Estaduais ou Distrital, exceto no caso do Fundo de Participação dos Municípios, que deve ser cadastrado em DirAdministrativo;Entidades Administrativas/Administração Pública;Fundo de Participação dos Municípios."
10,103;10,102;20, XI;CR1988;Terreno Aldeado;Art. 20. São bens da União: [...] XI- as terras tradicionalmente ocupadas pelos índios.
10,108;10,088;216;CF;Patrimônio Histórico / Tombamento;Meio de proteção dos bens que tenham um valor histórico ou artístico.
10,109;10,088;39;L 10.257/2001;Ordenação da Cidade / Plano Diretor;Questões sobre controle administratrivo da edificação e ocupação urbana.
10,111;10,11;art. 9º e segs.;Lei 6938/81;Revogação/Concessão de Licença Ambiental;A ser utilizado em ações que discutem sobre o licenciamento ambiental e sua revogação.
10,112;10,11;72;Lei 9605/98;Revogação/Anulação de multa ambiental;A ser utilizado quando o pedido se refere à revogação/anulação de multa administrativa aplicada com base na legislação ambiental.
10,114;10,11;art. 1º e segs.;Lei 5197/67;Fauna;Dispõe sobre a proteção à fauna. Deve ser utilizado em questões administrativas relativas à fauna.
10,115;10,11;art. 1º e segs.;Lei 11105/2005.;Transgênicos;Trata dos organismos geneticamente modificados, popularmente conhecidos como transgênicos.
10,116;10,11;art. 1º e segs.;Lei 7802/89;Agrotóxicos;Dispõe sobre a fiscalização dos agrotóxicos e seus componentes.
10,118;10,11;art. 1º e segs.;L 9.985/2000;Unidade de Conservação da Natureza;"Temas relacionados com a constituição, manutenção e operação das Unidades de Conservação Ambiental. São Unidades de Conservação Ambiental: Estação Ecológica; Reserva Biológica; Parque Nacional; Monumento Natural; Refúgio de Vida Silvestre; Área de Proteção Ambiental; Área de Relevante Interesse Ecológico; Floresta Nacional; Reserva Extrativista; Reserva de Fauna; Reserva de Desenvolvimento Sustentável; e Reserva Particular do Patrimônio Natural."
10,121;10,12;art. 5º, XXIV;CF;Desapropriação;Cuida da desapropriação ordinária.
10,122;10,12;art. 1º, 2º, 5º;DL 3365/41;Desapropriação por Utilidade Pública / DL 3.365/1941;Desapropriação em que o Estado, para atender situações normais, tem de adquirir o domínio e o uso de bens de outrem.
10,123;10,12;art. 1º e segs.;Lei 4132/62;Desapropriação por Interesse Social Comum / L 4.132/1962;Desapropriação em que o Estado, para impor um melhor aproveitamento da terra rural ou para prestigiar certas camadas sociais, adquire a propriedade de alguém e a trespassa a terceiro.
10,124;10,12;184;"CF1988; LC 76/1993";Desapropriação por Interesse Social para Reforma Agrária;
10,125;10,12;10;DL 3365/41;Desapropriação Indireta;Discussões em que a administração pública ocupa propriedade privada sem prévio processo de desapropriação, de iniciativa do particular prejudicado. Também conhecido como apossamento administrativo.
10,126;10,12;Art. 519;Lei 10406/02;Retrocessão;Particular pretende desfazer a desapropriação por destinação do bem diversa da que motivou a desapropriação. Inclui a hipótese de tredestinação, transferência a terceiro quando não pudesse ser transferido diretamente (perseguição ou favoritismo a pessoas determinadas).
10,127;10,12;art. 7º;DL 3365/41;Vistoria;Declara que a autoridade administrativa pode adentrar o imóvel para vistoriar e poder definir o valor de indenização.
10,128;10,12;art. 40;DL 3365/41;Servidão Administrativa;Na servidão administrativa alguns atributos do direito de propriedade são partilhados com terceiros.
10,129;10,12;35;DL 3365/41;Ocupação Temporária;Ocorre quando o Poder Público, por seus próprios agentes ou por empreiteiros, utiliza provisoriamente terrenos não edificados. Essa utilização deve ser necessária para realização da obra.
10,13;10,12;170, III;CF;Limitação Administrativa;Discussões sobre o estabelecimento de limitação administrativa, seus efeitos, inclusive sobre eventual indenização. Inclui as restrições impostas à exploração de imóveis situados e áreas de preservação ambiental.
10,131;10,088;art. 1º e segs.;"Lei 9491/97; leis estaduais";Privatização;Define os casos de privatização e como ela ocorre.
10,133;10,12;25 a 27;L 10.257/2001 Estatuto das Cidades;Direito de Preempção;Art. 25. O direito de preempção confere ao Poder Público municipal preferência para aquisição de imóvel urbano objeto de alienação onerosa entre particulares.
10,134;10,12;8º e segs.;L 10.251/2001;Desapropriação de Imóvel Urbano;Desapropriação com pagamento de indenização através de títulos públicos ou pagamento direto, por não cumprimento da obrigação de parcelamento, edificação ou utilização estabelecidas pelo Município (art. 5º, L 10.251/2001).
10,135;10,12;5º, XXV;CF1988;Requisição de Bem Particular;Requisição é a retirada coercitiva e temporária de bens da posse de particulares, por autoridade competente, para elidir iminente perigo público. A requisição de bens não se confunde com a desapropriação, por ser temporária, não implicando a perda da propriedade.
10,151;10,146;54;L 8.884/1994;Atos de Concentração;Refere-se aos casos em que é necessária a autorização do CADE para fusões, incorporações e associações de qualquer espécie entre agentes econômicos.
10,183;10,182;art. 1º a 11;DL 263/67;Apólices da Dívida Pública;Processos relativos ao resgate de Apólices da Dívida Pública Mobiliária
10,184;10,182;Arts. 29, II, 34, 36, pár. Único, 39, §4º, 43, § 2º, I;LC 101/2000;Títulos da Dívida Pública;"""Os títulos públicos são ativos de renda fixa. Os títulos públicos possuem a finalidade primordial de captar recursos para o financiamento da dívida pública, bem como para financiar atividades do Governo Federal, como educação, saúde e infra-estrutura."""
10,188;10,187;"CF, art. 37, XI e art. 93, V; LC 35, art. 61 a 65.";CF, LC 35;Remuneração;<<p>> Inclui discuss&ões sobre os subs&ídios e outras parcelas remunerat&órias.<</p>>
10,189;10,187;art. 29;LC 35;Afastamento;<<p>> Afastamento disciplinar.<</p>>
10,19;10,187;art. 42;LC 35;Processo Disciplinar / Sindicância;<<p>> Quest&ões relacionadas ao processo disciplinar ou sindic&ância instaurados contra magistrado.<</p>>
10,191;10,187;art. 50;LC 35;Aposentadoria;<<p>> Discuss&ões sobre aposentadoria de magistrados, incluindo as condi&ç&ões para aposenta&ç&ão (tempo de servi&ço, etc.), revers&ão e aposentadoria compuls&ória por idade.<</p>>
10,192;10,187;"CF, art. 93, II, III, IV; LC 35, art.80";CF, LC 35;Promoção;<<p>> Discuss&ão de crit&érios.<</p>>
10,193;10,187;"CF, art. 93, VIII-A; LC 35, art. 81";"CF; LC 35";Remoção;<<p>> Discuss&ões acerca da movimenta&ç&ão na carreira da magistratura por remo&ç&ão<</p>>
10,195;10,194;"CF, art. 37, XI , 39, § 4º; Lei 8625/93, art. 45 a 50.";CF, Lei 8625/93;Remuneração;Inclui discussões sobre os subsídios e outras parcelas remuneratórias.
10,196;10,194;art. 20, parágrafo único.;Lei 8429/92;Afastamento;Afastamento disciplinar.
10,197;10,194;art. 130-A, § 2º, II, III, IV.;CF;Processo Disciplinar / Sindicância;Investigação e aplicação de penalidade contra membro do Ministério Público.
10,198;10,194;"Art. 129, § 4º; Art. 54 e 55";"CF; Lei 8.625/93";Aposentadoria;<<p>> Discuss&ões sobre a aposentadoria de mmebros do Minist&ério P&úblico, crit&érios para concess&ão, aposentadoria por idade e incapacidade, revers&ão e etc.<</p>>
10,2;10,194;Art. 61;Lei 8625/93;Remoção;<<p>> Inclui os crit&érios para movimenta&ç&ão na carreira do Minist&ério P&úblico por remo&ç&ão<</p>>
10,202;10,201;20, parágrafo único;L 8.429/1992;Afastamento do Cargo;Afastamento por ordem de autoridade judicial ou administrativa, com base na lei de improbidade administrativa, e inclui os casos de não cumprimento do dever de repasse de verbas ou descumprimento da ordem de precatórios.
10,203;10,201;art. 37, X a XV;CF;Remuneração;Questões relacionadas com remuneração de Prefeito, incluindo o pedido de equiparação com o Governador.
10,204;10,201;4º, 5º e 6º;Dl 201/1967;Recondução;Revisão judicial do ato de cassação praticado pela Câmara dos Vereadores.
10,205;10,201;art. 1º, VI, VII;DL 201/67;Prestação de Contas;Constitui crime a não prestação de constas no tempo legal.
10,206;10,201;art. 7º;Lei 8429/92;Indisponibilidade de Bens;Questões relativas à medida com base na lei de improbidade administrativa.
10,208;10,207;art. 20, parágrafo único;Lei 8429/92;Afastamento do Cargo;<<p>> Afastamento por ordem de autoridade judicial ou administrativa, com base na lei de improbidade administrativa, e inclui os casos de n&ão cumprimento do dever de repasse de verbas ou descumprimento da ordem de precat&órios.<</p>>
10,21;10,207;art. 29;Lei 8112/90;Recondução;<<p>> Revis&ão judicial do ato de cassa&ç&ão praticado pela Assembl&éia Legislativa.<</p>>
10,211;10,207;"CF, art. 34, VII, d; LC 101, art. 25, IV, a, 48, 49, 56, 67, III; Lei 4320, art. 78";CF, Lei 4320, LC 101;Prestação de Contas;<<p>> Discuss&ões relacionadas ao dever de presta&ç&ão de contas do agente pol&ítico<</p>>
10,212;10,207;art. 7º;Lei 8429/92;Indisponibilidade de Bens;<<p>> Quest&ões relativas &à medida com base na lei de improbidade administrativa.<</p>>
10,214;10,213;art. 37, X a XV;CF;Remuneração;Todas as questões relacionadas com a remuneração do Parlamentar, incluindo subsídios e outras verbas.
10,215;10,213;art. 20, par. único;Lei 8429/92;Afastamento do Cargo;<<p>> Afastamento por ordem de autoridade judicial ou administrativa, com base na lei de improbidade administrativa ou com base em crit&érios de inelegibilidade que impe&çam a presen&ça na linha sucess&ória da chefia do Poder Executivo<</p>>
10,217;10,213;"CF, art. 34, VII, d; LC 101, art. 25, IV, a, 48, 49, 56, 67, III; Lei 4320, art. 78";CF, Lei 4320, LC 101;Prestação de Contas;Aplicável às questões relativas aos gestores dos órgãos do legislativo.
10,218;10,213;art. 7º;Lei 8429/92;Indisponibilidade de Bens;Questões relativas à medida com base na lei de improbidade administrativa.
10,22;10,219;39;CF;Regime Estatutário;Indicações da L 8.112/1990 servem como elemento de referência para as legislações estaduais, distrital e municipais. Inclui todas as discussões sobre regimes de vinculação previdenciária de Estados, Distrito Federal ou Municípios.
10,221;10,288;Art. 37, XIII;CF;Isonomia/Equivalência Salarial;Inclui extensão de vantagens aos inativos.
